epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.7175046,0.7094194,0.5233991703264036,0.792082,0.81379426,0.42923358627493646
1,0.8003843,0.8404856,0.40920058684569377,0.7940034,0.85655,0.4219686391735962
2,0.817139,0.8669762,0.37898434215502846,0.81529963,0.8749261,0.3891996799535315
3,0.83121175,0.88164467,0.35340643450304965,0.81229734,0.88700336,0.39583394926866555
4,0.84426147,0.8921042,0.3264010061206094,0.8209439,0.896504,0.37932411405745603
5,0.85861,0.9010486,0.2963714618605651,0.8194228,0.9048753,0.3960522757091878
6,0.87439513,0.9090305,0.2631247785600385,0.81578,0.91256404,0.43749815521573365
7,0.89092743,0.91641605,0.22937520748935045,0.81297785,0.9197125,0.48051667302160045
8,0.90490234,0.9232152,0.1997427025999784,0.8097754,0.9262646,0.5370455020120446
9,0.9190462,0.92946553,0.17237161473258286,0.8044514,0.9322055,0.6215755517931987
