,epoch,acc,auc,loss,val_acc,val_auc,val_loss,run_name
0,0,0.7071590999999999,0.68604743,0.531229724923566,0.7863176,0.8036452,0.4400706866639219,run000
1,1,0.7993213,0.8330466999999999,0.4129894307769205,0.80008805,0.8515439,0.4070994166726492,run000
2,2,0.81790847,0.86323106,0.3802832880929864,0.8183419,0.8721152,0.3810278556802133,run000
3,3,0.82993966,0.87913734,0.3586445154891016,0.8226252000000001,0.8847459999999999,0.3764428696887289,run000
4,4,0.8400228000000001,0.8897269,0.33971773635080665,0.8195829,0.89383936,0.3793226557804055,run000
5,5,0.8497856,0.8978163,0.3207520865462773,0.8069733,0.9009771999999999,0.4197423413643917,run000
6,6,0.8599888000000001,0.9042446,0.3016778936106187,0.8179416,0.9071167,0.4028231440190698,run000
7,7,0.8724559000000001,0.9102033000000002,0.27918919362313355,0.8142188,0.9128944999999999,0.40325345410446656,run000
8,8,0.8846828000000001,0.9157841999999998,0.255319245134242,0.8173812,0.9183026,0.4358095979835557,run000
9,9,0.8978881999999999,0.92111284,0.2280776272666061,0.8134182,0.92354715,0.4637503469381935,run000
0,0,0.6963955,0.67505795,0.5970543976263413,0.7786718,0.7906734999999999,0.4769452755815241,run001
1,1,0.7884465,0.8209436999999999,0.4571825074540426,0.7877987,0.8399700999999999,0.4590262022732772,run001
2,2,0.8054414000000001,0.85149914,0.4276325037369413,0.8151795000000001,0.8606491,0.4116474184876596,run001
3,3,0.816036,0.86764604,0.41030765386017815,0.8193027,0.8731958000000001,0.4110152617945943,run001
4,4,0.8224229999999999,0.8777325999999999,0.3989909706250737,0.8122173,0.8815050999999999,0.4217924381464376,run001
5,5,0.82844967,0.8848169,0.3895133794596857,0.7685441,0.8872839,0.501358123908771,run001
6,6,0.8320568000000002,0.88957113,0.3824208737418603,0.81161684,0.8918161,0.4258621188784531,run001
7,7,0.8370605999999999,0.8939746999999999,0.3761226460274013,0.823626,0.8959662,0.3977980773881669,run001
8,8,0.8400984,0.8978828999999999,0.3696874525189111,0.82462674,0.89955604,0.4011702992203294,run001
9,9,0.84373665,0.9012018,0.3641571953384762,0.82454664,0.9026693000000001,0.4001362331869813,run001
0,0,0.66516775,0.6353758,0.5842674289544508,0.77374804,0.7528372,0.4588543350466082,run002
1,1,0.77776295,0.7932648,0.4513239720435969,0.79584485,0.81820774,0.4196821316485216,run002
2,2,0.7950203,0.83265036,0.4209895742643034,0.80925506,0.8436831,0.3963296475811896,run002
3,3,0.8065311,0.8517904000000001,0.4035161127517392,0.813138,0.85836285,0.3879433573961792,run002
4,4,0.8131805000000001,0.863607,0.39106538651445855,0.80337054,0.86801815,0.4118156611070361,run002
5,5,0.8187758,0.8716891999999999,0.3823691542307273,0.8112564999999999,0.8749851000000001,0.4100352808279814,run002
6,6,0.821867,0.8778176,0.3758331711477991,0.8138185,0.88033795,0.4031139262325861,run002
7,7,0.8259456000000001,0.8826806,0.3697920736450879,0.8241864,0.88480556,0.3706387214591577,run002
8,8,0.8281161,0.8867966999999999,0.36487724659940585,0.8255074,0.8885666999999999,0.3688322950044835,run002
9,9,0.8293971,0.8901953000000001,0.3615827616107979,0.8274689000000001,0.8917126,0.36643381516488505,run002
0,0,0.66469634,0.63447577,0.6558849143324043,0.7765502,0.7530158,0.4972376245886049,run003
1,1,0.7735865,0.79231334,0.4949620353975783,0.78703815,0.81577325,0.4690026112482734,run003
2,2,0.7894339,0.8292096,0.4682459598282549,0.79884714,0.83951277,0.4494808427464794,run003
3,3,0.79760444,0.8469001,0.4541872187615408,0.80781394,0.8529833,0.43697749581975,run003
4,4,0.8033865,0.8578155000000001,0.4451137572174869,0.79732597,0.8618199000000001,0.4584689413825773,run003
5,5,0.80774087,0.8650885,0.4395503916324602,0.78267485,0.86785835,0.5028720675716022,run003
6,6,0.8103873,0.87018156,0.4352112053438848,0.81133664,0.87254333,0.4428066189344805,run003
7,7,0.81413233,0.8746624,0.4309778022782656,0.8171010000000001,0.87662405,0.4233179416569491,run003
8,8,0.81595147,0.8784496999999999,0.4277800064037668,0.8231856,0.8800882999999999,0.4167240888271457,run003
9,9,0.8169878,0.8815415000000001,0.4274577529236161,0.82178456,0.8829190999999998,0.4186310965219625,run003
0,0,0.57126653,0.54815966,0.671246204189076,0.71846604,0.6219601,0.5478665459323937,run004
1,1,0.7415092,0.6956048,0.5105494720410103,0.76638246,0.74377465,0.46214024448784,run004
2,2,0.77019286,0.7697396,0.4650669473928839,0.7720668,0.7888877,0.4507827496730869,run004
3,3,0.78060955,0.8016833999999999,0.4493801643954759,0.7955246,0.8122519,0.42349947117526615,run004
4,4,0.78700095,0.8201483,0.4397476504164741,0.7867179,0.82678777,0.44301171389989147,run004
5,5,0.79127526,0.8320639999999999,0.43323475001138595,0.79044074,0.836701,0.4495801999401802,run004
6,6,0.79349023,0.8404468,0.4289389377920641,0.7982467,0.84392726,0.4279546080617456,run004
7,7,0.79562074,0.84688854,0.4253619197223717,0.80032825,0.8495988000000001,0.4151106064712269,run004
8,8,0.7977601,0.851973,0.4229722288043503,0.80020815,0.85416585,0.4150668453573036,run004
9,9,0.7995926,0.85613674,0.4182184155364467,0.8036508000000001,0.85798883,0.4123799596434977,run004
0,0,0.568331,0.5497478,0.7712909411029228,0.711861,0.6152929,0.5974057710964457,run005
1,1,0.7366389,0.6892063,0.5624593912986755,0.77070576,0.73830837,0.5071834538432456,run005
2,2,0.76575845,0.7645824999999999,0.5145331969892423,0.780273,0.7840520999999999,0.4837159179771145,run005
3,3,0.7770024,0.79705787,0.499509381871048,0.7918418,0.8076412,0.4700123041524778,run005
4,4,0.7831714,0.8155446,0.4885278948970561,0.7731475999999999,0.82208675,0.5073851698988073,run005
5,5,0.78827745,0.82729423,0.4816899281212519,0.78647774,0.8320428,0.4909340539200664,run005
6,6,0.79023004,0.83585155,0.4781666353139194,0.8021295999999999,0.8394653,0.4591355315014892,run005
7,7,0.7934769,0.84257907,0.4733829495236978,0.7984868,0.8453837,0.458927015565269,run005
8,8,0.7952560000000001,0.84785783,0.4700569801060114,0.8030103,0.8501257999999999,0.4577669588402963,run005
9,9,0.7968439,0.8521769,0.4673947723974216,0.80345064,0.8540587,0.4548001113549238,run005
