epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.719277,0.6874742,0.5153897573051888,0.8188544,0.8207422,0.3876725110839017
1,0.82256,0.8515114,0.38459207373125426,0.8362768,0.87053174,0.35890728351255063
2,0.84023595,0.88168555,0.3529603249061727,0.8519226,0.8903651,0.3335233051400975
3,0.8509022,0.8966899,0.33379871627215313,0.8592151,0.90200275,0.31833346170998755
4,0.8566125,0.9061781,0.3217601911109334,0.86152214,0.9097442,0.3124908010728616
5,0.8615243,0.91273606,0.31282794719101864,0.8630602,0.91533303,0.3162820573404627
6,0.86534,0.9176741,0.30671533494030395,0.86711746,0.91959673,0.3059643740146581
7,0.8687373,0.92134786,0.3009313060207631,0.86051446,0.9230199,0.3134733305949248
8,0.8711976,0.9245645,0.2954612672285921,0.8659507,0.9258608,0.3062588563019004
9,0.8738671,0.92709583,0.29046850470838304,0.8705648,0.92831177,0.2971631653850292
